country,continent,mortality_rate,n_infected,gov_eff
"China, Day 48",Asia,0.049587299579393444,80757.0,0.477128386497498
"Italy, Day 38",Europe,0.4656826568265683,10149.0,0.41388350725174
"Iran, Day 20",Asia,0.09629384513567174,8042.0,-0.430217295885086
"South Korea, Day 48",Asia,0.17940199335548174,7513.0,1.18266487121582
"France, Day 46",Europe,0.7333333333333333,1784.0,1.48052585124969
"Spain, Day 38",Europe,0.5223880597014925,1695.0,1.00213575363159
"Germany, Day 42",Europe,0.1,1457.0,1.61963284015656
"Japan, Day 48",Asia,0.09009009009009009,581.0,1.67581748962402
"United Kingdom, Day 38",Europe,0.25,382.0,1.34188377857208
"United States, Day 48",Americas,0.7777777777777778,959.0,1.57699835300446
"Singapore, Day 47",Asia,0.0,160.0,2.23147439956665
"Malaysia, Day 47",Asia,0.0,129.0,1.0753481388092
"Hong Kong, China, Day 48",Asia,0.04411764705882353,120.0,1.90360701084137
"Bahrain, Day 15",Asia,0.0,110.0,0.179877430200577
"United Arab Emirates, Day 41",Asia,0.0,74.0,1.43129098415375
"Iraq, Day 16",Asia,0.7,71.0,-1.32054817676544
"Egypt, Day 25",Africa,0.5,59.0,-0.584804058074951
"Israel, Day 18",Asia,0.0,83.0,1.20820724964142
"India, Day 40",Asia,0.0,56.0,0.283048510551453
"Australia, Day 47",Oceania,0.125,107.0,1.5964949131012
"Thailand, Day 48",Asia,0.029411764705882353,53.0,0.349959552288055
"Taiwan, Day 48",Asia,0.05555555555555555,47.0,1.36233115196228
"Lebanon, Day 18",Asia,0.5,41.0,-0.640202343463898
"Canada, Day 44",Americas,0.1111111111111111,79.0,1.71610832214355
"Philippines, Day 47",Asia,0.3333333333333333,33.0,0.049509420990944
"Vietnam, Day 47",Asia,0.0,31.0,-0.003444779897109
"Oman, Day 15",Asia,0.0,18.0,0.186578199267387
"Macau, China, Day 48",Asia,0.0,10.0,1.20436596870422
"Mexico, Day 47",Americas,0.0,7.0,-0.153388038277626
