group,male,female
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
0-9,18,11
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
10-19,20,7
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
20-29,94,68
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
30-39,129,106
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
40-49,141,94
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
50-59,119,98
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
60-69,91,76
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
70-79,39,31
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
80-89,20,9
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
90-99,0,2
