country,continent
Afghanistan,Asia
Afghanistan,Asia
Albania,Europe
Albania,Europe
Algeria,Africa
Algeria,Africa
Andorra,Europe
Angola,Africa
Angola,Africa
Argentina,Americas
Armenia,Europe
Australia,Oceania
Australia,Oceania
Austria,Europe
Austria,Europe
Azerbaijan,Asia
Azerbaijan,Europe
Bahamas,Americas
Bahrain,Asia
Bahrain,Asia
Bangladesh,Asia
Bangladesh,Asia
Barbados,Americas
Belarus,Europe
Belarus,Europe
Belgium,Europe
Belgium,Europe
Belize,Americas
Benin,Africa
Benin,Africa
Bhutan,Asia
Bolivia,Americas
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Botswana,Africa
Botswana,Africa
Brazil,Americas
Brunei,Asia
Bulgaria,Europe
Bulgaria,Europe
Burkina,Africa
Burkina Faso,Africa
Burma (Myanmar),Asia
Burundi,Africa
Burundi,Africa
Cambodia,Asia
Cambodia,Asia
Cameroon,Africa
Cameroon,Africa
Canada,Americas
Cape Verde,Africa
Central African Republic,Africa
Central African Republic,Africa
Chad,Africa
Chad,Africa
Chile,Americas
China,Asia
China,Asia
Colombia,Americas
Comoros,Africa
Comoros,Africa
Congo,Africa
"Congo, Dem. Rep.",Africa
"Congo, Democratic Republic of",Africa
"Congo, Rep.",Africa
Costa Rica,Americas
Cote d'Ivoire,Africa
Croatia,Europe
Croatia,Europe
Cruise,Cruise
Cuba,Americas
Cyprus,Europe
CZ,Europe
Czech Republic,Europe
Denmark,Europe
Denmark,Europe
Djibouti,Africa
Djibouti,Africa
Dominica,Americas
Dominican Republic,Americas
East Timor,Asia
Ecuador,Americas
Egypt,Africa
Egypt,Africa
El Salvador,Americas
Equatorial Guinea,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Eritrea,Africa
Estonia,Europe
Estonia,Europe
Ethiopia,Africa
Ethiopia,Africa
Fiji,Oceania
Finland,Europe
Finland,Europe
France,Europe
France,Europe
Gabon,Africa
Gabon,Africa
Gambia,Africa
Gambia,Africa
Georgia,Asia
Georgia,Europe
Germany,Europe
Germany,Europe
Ghana,Africa
Ghana,Africa
Greece,Europe
Greece,Europe
Grenada,Americas
Guatemala,Americas
Guinea,Africa
Guinea,Africa
Guinea-Bissau,Africa
Guinea-Bissau,Africa
Guyana,Americas
Haiti,Americas
Honduras,Americas
"Hong Kong, China",Asia
Hungary,Europe
Hungary,Europe
Iceland,Europe
Iceland,Europe
India,Asia
India,Asia
Indonesia,Asia
Indonesia,Asia
Iran,Asia
Iran,Asia
Iraq,Asia
Iraq,Asia
Ireland,Europe
Ireland,Europe
Israel,Asia
Israel,Asia
Italy,Europe
Italy,Europe
Ivory Coast,Africa
Ivory Coast,Africa
Jamaica,Americas
Japan,Asia
Japan,Asia
Jordan,Asia
Jordan,Asia
Kazakhstan,Asia
Kenya,Africa
Kenya,Africa
Kiribati,Oceania
"Korea, North",Asia
"Korea, South",Asia
Kuwait,Asia
Kuwait,Asia
Kyrgyzstan,Asia
Laos,Asia
Latvia,Europe
Lebanon,Asia
Lebanon,Asia
Lesotho,Africa
Lesotho,Africa
Liberia,Africa
Liberia,Africa
Libya,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Lithuania,Europe
Luxembourg,Europe
"Macau, China",Asia
Macedonia,Europe
Madagascar,Africa
Madagascar,Africa
Malawi,Africa
Malawi,Africa
Malaysia,Asia
Malaysia,Asia
Maldives,Asia
Mali,Africa
Mali,Africa
Malta,Europe
Marshall Islands,Oceania
Mauritania,Africa
Mauritania,Africa
Mauritius,Africa
Mauritius,Africa
Mexico,Americas
Micronesia,Oceania
Moldova,Europe
Monaco,Europe
Mongolia,Asia
Mongolia,Asia
Montenegro,Europe
Montenegro,Europe
Morocco,Africa
Morocco,Africa
Mozambique,Africa
Mozambique,Africa
Myanmar,Asia
Namibia,Africa
Namibia,Africa
Nauru,Oceania
Nepal,Asia
Nepal,Asia
Netherlands,Europe
Netherlands,Europe
New Zealand,Oceania
New Zealand,Oceania
Nicaragua,Americas
Niger,Africa
Niger,Africa
Nigeria,Africa
Nigeria,Africa
North Ireland,Europe
North Korea,Asia
North Macedonia,Europe
Norway,Europe
Norway,Europe
Oman,Asia
Oman,Asia
Pakistan,Asia
Pakistan,Asia
Palau,Oceania
Panama,Americas
Papua New Guinea,Oceania
Paraguay,Americas
Peru,Americas
Philippines,Asia
Philippines,Asia
Poland,Europe
Poland,Europe
Portugal,Europe
Portugal,Europe
Qatar,Asia
Reunion,Africa
Romania,Europe
Romania,Europe
Russia,Asia
Russian Federation,Asia
Rwanda,Africa
Rwanda,Africa
Saint Kitts and Nevis,Americas
Saint Lucia,Americas
Saint Vincent and the Grenadines,Americas
Samoa,Oceania
San Marino,Europe
San Marino,Europe
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Saudi Arabia,Asia
Senegal,Africa
Senegal,Africa
Serbia,Europe
Serbia,Europe
Seychelles,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Singapore,Asia
Singapore,Asia
Slovak Republic,Europe
Slovakia,Europe
Slovenia,Europe
Slovenia,Europe
Solomon Islands,Oceania
Somalia,Africa
Somalia,Africa
South Africa,Africa
South Africa,Africa
South Korea,Asia
South Sudan,Africa
Spain,Europe
Spain,Europe
Sri Lanka,Asia
Sri Lanka,Asia
Sudan,Africa
Sudan,Africa
Suriname,Americas
Swaziland,Africa
Swaziland,Africa
Sweden,Europe
Sweden,Europe
Switzerland,Europe
Switzerland,Europe
Syria,Asia
Syria,Asia
Taiwan,Asia
Tajikistan,Asia
Tanzania,Africa
Tanzania,Africa
Thailand,Asia
Thailand,Asia
Togo,Africa
Togo,Africa
Tonga,Oceania
Trinidad and Tobago,Americas
Tunisia,Africa
Tunisia,Africa
Turkey,Asia
Turkey,Europe
Turkmenistan,Asia
Tuvalu,Oceania
Uganda,Africa
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Asia
United Arab Emirates,Asia
United Kingdom,Europe
United Kingdom,Europe
Uruguay,Americas
United States,Americas
Uzbekistan,Asia
Vanuatu,Oceania
Vatican City,Europe
Venezuela,Americas
Vietnam,Asia
Vietnam,Asia
West Bank and Gaza,Asia
Yemen,Asia
"Yemen, Rep.",Asia
Zambia,Africa
Zambia,Africa
Zimbabwe,Africa
Zimbabwe,Africa
Saint Barthelemy,Americas
Faroe Islands,Europe
Gibraltar,Europe
Palestine,Asia
French Guiana,Americas
Martinique,Americas
Republic of Ireland,Europe
St. Martin,Americas
Bailiwick of Guernsey,Europe
