Country/Territory,Code,1996Estimate,1996StdErr,1996NumSrc,1996Rank,1996Lower,1996Upper,1998Estimate,1998StdErr,1998NumSrc,1998Rank,1998Lower,1998Upper,2000Estimate,2000StdErr,2000NumSrc,2000Rank,2000Lower,2000Upper,2002Estimate,2002StdErr,2002NumSrc,2002Rank,2002Lower,2002Upper,2003Estimate,2003StdErr,2003NumSrc,2003Rank,2003Lower,2003Upper,2004Estimate,2004StdErr,2004NumSrc,2004Rank,2004Lower,2004Upper,2005Estimate,2005StdErr,2005NumSrc,2005Rank,2005Lower,2005Upper,2006Estimate,2006StdErr,2006NumSrc,2006Rank,2006Lower,2006Upper,2007Estimate,2007StdErr,2007NumSrc,2007Rank,2007Lower,2007Upper,2008Estimate,2008StdErr,2008NumSrc,2008Rank,2008Lower,2008Upper,2009Estimate,2009StdErr,2009NumSrc,2009Rank,2009Lower,2009Upper,2010Estimate,2010StdErr,2010NumSrc,2010Rank,2010Lower,2010Upper,2011Estimate,2011StdErr,2011NumSrc,2011Rank,2011Lower,2011Upper,2012Estimate,2012StdErr,2012NumSrc,2012Rank,2012Lower,2012Upper,2013Estimate,2013StdErr,2013NumSrc,2013Rank,2013Lower,2013Upper,2014Estimate,2014StdErr,2014NumSrc,2014Rank,2014Lower,2014Upper,2015Estimate,2015StdErr,2015NumSrc,2015Rank,2015Lower,2015Upper,2016Estimate,2016StdErr,2016NumSrc,2016Rank,2016Lower,2016Upper,2017Estimate,2017StdErr,2017NumSrc,2017Rank,2017Lower,2017Upper,2018Estimate,2018StdErr,2018NumSrc,2018Rank,2018Lower,2018Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.30171275138855,0.411078751087189,1,88.1773376464844,72.9064025878906,95.5665054321289,1.29286193847656,0.306960046291351,1,88.2352905273438,75,95.5882339477539,1.28532695770264,0.433775842189789,1,87.8048782348633,69.7560958862305,98.0487823486328,1.25298464298248,0.469347029924393,1,86.8932037353516,69.9029159545898,97.5728149414062,1.27932643890381,0.452218174934387,1,86.4077682495117,69.4174728393555,98.0582504272461,1.50056803226471,0.322890847921371,2,89.9521560668945,78.4689025878906,98.0861206054687,1.25171887874603,0.335292130708694,2,85.6459350585937,72.2488021850586,96.172248840332,1.24213135242462,0.329360544681549,2,84.8341217041016,72.511848449707,96.2085342407227,1.25473201274872,0.31412810087204,2,85.7819900512695,72.511848449707,95.2606658935547,1.22707378864288,0.301568955183029,2,84.8341217041016,72.511848449707,94.7867279052734,0.891651391983032,0.351580381393433,2,75.4807662963867,64.4230804443359,89.9038467407227,0.883568704128265,0.330626219511032,2,76.4423065185547,65.3846130371094,87.9807662963867,0.893229365348816,0.320726782083511,2,76.4423065185547,67.3076934814453,90.8653869628906,0.917741596698761,0.334729373455048,2,79.3269195556641,66.3461532592774,91.8269195556641,1.05839169025421,0.331871509552002,2,80.288459777832,71.1538467407227,92.788459777832
Andorra,ADO,1.41403770446777,0.187617555260658,1,88.5245895385742,83.606559753418,91.2568283081055,1.46204972267151,0.310278981924057,1,88.6010360717773,82.3834228515625,95.8549194335938,1.44628429412842,0.343066334724426,1,88.7179489135742,80,97.4358978271484,1.42387390136719,0.299504518508911,1,88.7755126953125,81.1224517822266,94.3877563476562,1.41064810752869,0.363449960947037,1,88.7755126953125,77.5510177612305,97.4489822387695,1.5245658159256,0.411078751087189,1,90.1477813720703,76.8472900390625,99.5073928833008,1.29286193847656,0.306960046291351,1,88.2352905273438,75,95.5882339477539,1.54303455352783,0.433775842189789,1,89.7560958862305,76.5853652954102,100,1.50825417041779,0.469347029924393,1,90.291259765625,75.728157043457,99.0291290283203,1.53720915317535,0.452218174934387,1,90.7766952514649,77.1844635009766,99.5145645141602,1.54009580612183,0.423426330089569,1,91.8660278320312,75.5980834960937,99.5215301513672,1.51803267002106,0.449366062879562,1,89.9521560668945,75.1196136474609,100,1.50468945503235,0.434597462415695,1,90.5213241577149,75.3554534912109,99.5260696411133,1.53135561943054,0.400208622217178,1,91.4691925048828,76.3033142089844,99.5260696411133,1.5393967628479,0.382627606391907,1,91.9431304931641,77.7251205444336,99.5260696411133,1.7183358669281,0.467868983745575,1,94.2307662963867,76.4423065185547,100,1.78720510005951,0.447965174913406,1,95.6730804443359,81.25,100,1.86058712005615,0.435032665729523,1,98.0769195556641,84.1346130371094,100,1.9372820854187,0.447060197591782,1,98.5576934814453,85.0961532592774,100,1.94497573375702,0.458574533462524,1,98.5576934814453,84.6153869628906,100
Afghanistan,AFG,-2.17516660690308,0.187617555260658,1,0,0,1.63934421539307,-2.13594222068787,0.310278981924057,1,0,0,2.59067368507385,-2.23165082931519,0.343066334724426,1,0,0,2.56410264968872,-1.56797313690186,0.262548118829727,2,2.04081630706787,0,9.18367385864258,-1.08248770236969,0.306743860244751,2,11.7346935272217,1.5306122303009,32.1428565979004,-0.894050717353821,0.239062428474426,4,17.2413787841797,6.89655160903931,37.4384231567383,-1.2108291387558,0.222251787781715,4,9.80392169952393,1.96078431606293,22.5490188598633,-1.43034291267395,0.257668018341064,6,5.36585378646851,0,15.1219511032105,-1.40335166454315,0.306179106235504,5,5.33980560302734,0.485436886548996,17.4757289886475,-1.49608886241913,0.271777808666229,6,4.36893224716187,0.485436886548996,13.5922327041626,-1.48389947414398,0.239803090691566,7,3.82775115966797,0,11.9617223739624,-1.4546834230423,0.235485956072807,7,4.78468894958496,0.478468894958496,13.3971290588379,-1.44848775863647,0.238756999373436,7,4.7393364906311,0.947867274284363,14.2180099487305,-1.36013960838318,0.225565776228905,8,6.63507127761841,0.473933637142181,16.5876770019531,-1.38492977619171,0.220842599868774,8,7.5829381942749,0.473933637142181,14.6919431686401,-1.33139562606812,0.231540635228157,8,8.17307662963867,1.44230771064758,16.3461532592773,-1.32296812534332,0.231146186590195,8,8.17307662963867,1.44230771064758,17.3076915740967,-1.22636330127716,0.221859291195869,8,9.61538505554199,4.32692289352417,18.75,-1.33461046218872,0.22827821969986,8,9.13461494445801,3.8461537361145,16.3461532592773,-1.45728528499603,0.2380510866642,8,7.692307472229,1.44230771064758,12.5
Angola,AGO,-0.859939992427826,0.173903718590736,3,21.3114757537842,12.021858215332,33.3333320617676,-1.34178328514099,0.203154727816582,5,5.69948196411133,2.59067368507385,13.9896373748779,-1.46230971813202,0.211237147450447,5,3.58974361419678,2.05128216743469,10.2564105987549,-1.23885667324066,0.186934381723404,6,8.16326522827148,2.04081630706787,13.7755098342896,-1.15653133392334,0.177602916955948,7,9.18367385864258,3.57142853736877,18.8775501251221,-1.31457817554474,0.169681444764137,8,6.40394067764282,1.47783255577087,11.3300495147705,-1.1371533870697,0.186741173267365,7,12.2549018859863,3.43137264251709,22.5490188598633,-1.36949253082275,0.176083534955978,9,5.85365867614746,1.46341466903687,13.1707315444946,-1.20641231536865,0.214037537574768,8,10.6796112060547,2.91262125968933,19.9029121398926,-1.06221318244934,0.207138538360596,8,13.5922327041626,4.85436916351318,26.6990299224854,-0.960353314876556,0.197768226265907,9,17.2248802185059,6.69856452941895,31.1004791259766,-1.11789619922638,0.189236164093018,10,11.0047845840454,4.78468894958496,22.4880390167236,-1.15355563163757,0.188008159399033,10,11.3744077682495,4.26540279388428,19.9052124023438,-0.989631712436676,0.198869958519936,9,17.0616111755371,7.5829381942749,29.3838863372803,-1.22317147254944,0.170941725373268,11,10.9004735946655,3.79146909713745,17.0616111755371,-1.12366890907288,0.180535778403282,11,13.4615383148193,6.25,19.7115383148193,-1.00010335445404,0.18458616733551,10,15.384614944458,8.17307662963867,25,-1.03590297698975,0.180208325386047,10,13.4615383148193,7.692307472229,22.115385055542,-1.02531278133392,0.188733235001564,9,14.9038457870483,8.65384578704834,22.5961532592773,-1.052086353302,0.192664086818695,9,13.942307472229,8.17307662963867,21.634614944458
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0788596868515,0.411078751087189,1,81.7733993530274,67.9802932739258,91.1330032348633,1.55845177173615,0.306960046291351,1,91.1764678955078,82.8431396484375,99.0196075439453,1.54303455352783,0.433775842189789,1,89.7560958862305,76.5853652954102,100,1.50825417041779,0.469347029924393,1,90.291259765625,75.728157043457,99.0291290283203,1.53720915317535,0.452218174934387,1,90.7766952514649,77.1844635009766,99.5145645141602,1.54009580612183,0.423426330089569,1,91.8660278320312,75.5980834960937,99.5215301513672,1.51803267002106,0.449366062879562,1,89.9521560668945,75.1196136474609,100,1.50468945503235,0.434597462415695,1,90.5213241577149,75.3554534912109,99.5260696411133,1.53135561943054,0.400208622217178,1,91.4691925048828,76.3033142089844,99.5260696411133,1.5393967628479,0.382627606391907,1,91.9431304931641,77.7251205444336,99.5260696411133,0.952229022979736,0.467868983745575,1,77.8846130371094,60.5769233703613,94.2307662963867,1.00733196735382,0.447965174913406,1,79.3269195556641,64.4230804443359,93.75,1.32888829708099,0.435032665729523,1,87.9807662963867,73.0769195556641,99.5192337036133,0.835899829864502,0.447060197591782,1,76.4423065185547,57.211540222168,92.788459777832,0.830126941204071,0.458574533462524,1,76.4423065185547,55.288459777832,92.3076934814453
Albania,ALB,-0.68858790397644,0.181661412119865,2,25.6830596923828,15.8469944000244,38.2513656616211,-0.631392419338226,0.241724938154221,3,24.8704662322998,13.4715023040771,47.6683921813965,-0.75511771440506,0.246736913919449,4,23.0769233703613,9.23076915740967,43.5897445678711,-0.533348321914673,0.217061936855316,5,34.6938781738281,17.8571434020996,49.4897956848145,-0.53820937871933,0.237755209207535,5,35.2040824890137,15.8163261413574,52.5510215759277,-0.415867686271668,0.239039286971092,6,42.3645324707031,20.1970443725586,56.6502456665039,-0.659452378749847,0.200381129980087,7,31.3725490570068,16.1764698028564,43.6274528503418,-0.523602187633514,0.186890244483948,9,35.6097564697266,22.4390239715576,48.2926826477051,-0.406624108552933,0.20833046734333,9,42.2330093383789,25.2427177429199,51.9417457580566,-0.356763660907745,0.21067276597023,9,44.1747589111328,27.1844654083252,55.3398056030273,-0.257898151874542,0.207134053111076,9,47.8468894958496,33.9712905883789,57.4162673950195,-0.282755494117737,0.208512470126152,9,44.4976081848145,31.5789470672607,56.9377975463867,-0.208206981420517,0.206774815917015,9,47.8672981262207,36.4928894042969,60.1895751953125,-0.267799705266953,0.198437124490738,10,46.445499420166,31.7535552978516,58.2938385009766,-0.31691986322403,0.195889204740524,10,45.4976310729981,31.2796211242676,55.4502372741699,-0.085557945072651,0.215891391038895,9,50,36.538459777832,63.9423065185547,0.010291067883372,0.216398820281029,9,53.8461532592774,41.8269233703613,66.3461532592774,0.013270381838083,0.205589219927788,8,52.8846168518066,40.8653831481934,66.3461532592774,0.083774074912071,0.209390893578529,8,55.769229888916,42.3076934814453,67.788459777832,0.114787988364697,0.2275700122118,7,57.6923065185547,42.788459777832,70.1923065185547
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.20266687870026,0.411078751087189,1,85.7142868041992,70.4433517456055,93.596061706543,1.02727198600769,0.306960046291351,1,82.3529434204102,69.1176452636719,89.7058792114258,0.769911587238312,0.433775842189789,1,76.5853652954102,56.0975608825684,88.2926864624023,0.742445588111877,0.469347029924393,1,77.1844635009766,52.9126205444336,90.291259765625,0.763561010360718,0.452218174934387,1,76.6990280151367,56.3106803894043,88.8349533081055,0.761760234832764,0.423426330089569,1,74.1626815795898,57.4162673950195,88.5167465209961,0.749144017696381,0.449366062879562,1,75.1196136474609,56.4593315124512,88.9952163696289,0.741333901882171,0.434597462415695,1,73.9336471557617,55.9241714477539,87.6777267456055,0.747314274311066,0.400208622217178,1,73.459716796875,58.2938385009766,88.1516571044922,0.752769649028778,0.382627606391907,1,73.459716796875,59.2417068481445,88.6255950927734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.776639640331268,0.173903718590736,3,77.0491790771484,67.7595596313477,83.606559753418,0.794107794761658,0.228347718715668,3,78.2383422851563,69.4300537109375,84.9740905761719,0.791495740413666,0.246868371963501,3,79.4871826171875,67.1794891357422,86.1538467407227,0.845478177070618,0.198361143469811,4,78.0612258911133,70.4081649780273,85.7142868041992,0.581133782863617,0.213916137814522,4,72.4489822387695,64.7959213256836,79.5918350219727,0.698981106281281,0.200272008776665,5,75.3694610595703,67.9802932739258,80.7881774902344,0.71051025390625,0.188699662685394,5,72.5490188598633,65.6862716674805,80.3921585083008,0.943854510784149,0.200072780251503,6,79.5121917724609,71.2195129394531,86.3414611816406,0.923828661441803,0.229379907250404,6,79.1262130737305,70.8737869262695,87.3786392211914,0.876649439334869,0.238607823848724,6,78.1553421020508,67.4757308959961,84.9514541625977,0.990984559059143,0.221626684069633,7,79.4258346557617,72.2488021850586,87.5598068237305,0.897961139678955,0.227007031440735,7,77.511962890625,68.8995208740234,86.1244049072266,1.05526304244995,0.212942942976952,8,81.9905242919922,72.9857788085937,87.6777267456055,1.14961004257202,0.210722774267197,8,83.4123229980469,73.459716796875,90.0473937988281,1.17636811733246,0.207789823412895,8,83.4123229980469,74.407585144043,90.5213241577149,1.43552124500275,0.221694305539131,8,89.4230804443359,81.7307662963867,95.1923065185547,1.50960767269135,0.219996184110641,8,91.3461532592774,84.1346130371094,98.0769195556641,1.41592800617218,0.210645228624344,8,90.8653869628906,81.25,94.2307662963867,1.41557991504669,0.213301166892052,8,90.8653869628906,81.7307662963867,94.711540222168,1.43129098415375,0.213245272636414,8,90.3846130371094,81.25,95.6730804443359
Argentina,ARG,0.165690049529076,0.167988479137421,6,60.1092910766602,54.0983619689941,65.5737686157227,0.376485079526901,0.197616308927536,6,67.8756484985352,59.0673561096191,76.6839370727539,0.03217713907361,0.192655399441719,6,57.4358978271484,46.1538467407227,66.6666641235352,-0.280357331037521,0.171809390187264,8,47.4489784240723,32.1428565979004,56.6326522827148,-0.047438342124224,0.175202608108521,8,58.1632652282715,44.8979606628418,64.7959213256836,-0.057569071650505,0.177185967564583,9,55.1724128723145,46.305419921875,65.5172424316406,-0.124214522540569,0.170971885323525,9,50.9803924560547,41.1764717102051,59.3137245178223,-0.045504238456488,0.17420868575573,11,55.1219520568848,42.4390258789063,61.9512176513672,-0.015958933159709,0.193795293569565,11,53.3980598449707,44.1747589111328,63.5922317504883,-0.146811857819557,0.201797813177109,10,50.4854354858398,38.8349533081055,60.1941757202148,-0.318264842033386,0.188544988632202,11,45.9330139160156,31.5789470672607,56.4593315124512,-0.16279000043869,0.192854166030884,11,49.2822952270508,38.7559814453125,59.8086128234863,-0.120056129992008,0.192881375551224,11,49.7630348205566,40.7582931518555,60.6635055541992,-0.238575220108032,0.191334754228592,11,46.9194297790527,34.1232223510742,58.2938385009766,-0.277548879384994,0.189683929085732,11,45.971565246582,32.2274894714355,56.3981056213379,-0.15913525223732,0.194904953241348,11,46.6346168518066,34.6153831481934,60.5769233703613,-0.075008101761341,0.196532681584358,11,50,39.9038467407227,62.980770111084,0.162129193544388,0.188971772789955,11,60.0961532592774,49.038459777832,69.2307662963867,0.149541974067688,0.190565422177315,11,58.6538467407227,47.5961532592774,68.75,0.025987762957811,0.183125406503677,11,54.8076934814453,41.3461532592774,64.9038467407227
Armenia,ARM,-0.380564451217651,0.187617555260658,1,41.5300559997559,25.6830596923828,55.7377052307129,-0.475411891937256,0.241724938154221,3,36.2694282531738,18.1347141265869,54.4041442871094,-0.515752613544464,0.246736913919449,4,34.8717956542969,15.8974361419678,52.8205146789551,-0.091401666402817,0.217061936855316,5,54.0816345214844,38.2653045654297,63.7755088806152,-0.156300693750382,0.237755209207535,5,51.5306129455566,34.1836738586426,64.7959213256836,-0.092241249978542,0.239039286971092,6,54.1871910095215,37.9310340881348,66.0098495483399,-0.139913037419319,0.200381129980087,7,50,38.7254905700684,60.7843132019043,-0.254579186439514,0.177109226584435,10,46.3414649963379,34.1463432312012,55.6097564697266,-0.375843793153763,0.198582142591476,10,44.1747589111328,27.6699028015137,51.9417457580566,-0.17269392311573,0.203785866498947,10,49.0291252136231,37.3786392211914,58.737865447998,-0.029734781011939,0.203007072210312,10,54.5454559326172,43.5406684875488,64.1148300170898,-0.183843538165093,0.20129831135273,10,48.8038291931152,37.3205757141113,59.8086128234863,-0.128958895802498,0.20128108561039,10,49.2891006469727,40.7582931518555,60.6635055541992,-0.042271338403225,0.195984914898872,11,54.028434753418,43.1279602050781,62.0853080749512,0.069011472165585,0.193286046385765,11,57.3459701538086,46.445499420166,64.9289093017578,-0.198050931096077,0.200679644942284,11,45.6730766296387,32.211540222168,59.1346168518066,-0.16080878674984,0.203904926776886,11,48.5576934814453,35.5769233703613,60.0961532592774,-0.158175304532051,0.197107270359993,9,49.038459777832,35.5769233703613,60.0961532592774,-0.104389362037182,0.198433861136436,9,49.519229888916,36.0576934814453,61.538459777832,-0.024339372292161,0.206374123692512,9,51.4423065185547,39.4230766296387,63.9423065185547
